"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 23 06:10:48 UTC 2026","Tue Jun 23 06:10:54 UTC 2026","5586","tests","test_alerts_frames_windows","TestBrowserWindows","","","test_new_window_opens_with_correct_content","TC-BW02: Открытие нового окна — контент корректен."
"passed","Tue Jun 23 06:21:48 UTC 2026","Tue Jun 23 06:22:04 UTC 2026","16385","tests","test_elements_extended","TestUploadDownload","","","test_download_file_has_correct_extension","Скачанный файл является изображением (расширение .jpeg или .png)."
"passed","Tue Jun 23 06:10:33 UTC 2026","Tue Jun 23 06:10:44 UTC 2026","10281","tests","test_alerts_frames_windows","TestAlerts","","","test_timer_alert_appears_after_delay","TC-A05: Timer alert — появляется через 5 секунд."
"passed","Tue Jun 23 06:11:17 UTC 2026","Tue Jun 23 06:11:33 UTC 2026","16390","tests","test_alerts_frames_windows","TestFrames","","","test_both_frames_load_independently","Оба фрейма загружаются и содержат текст независимо друг от друга."
"passed","Tue Jun 23 06:12:06 UTC 2026","Tue Jun 23 06:12:39 UTC 2026","32202","tests","test_alerts_frames_windows","TestModalDialogs","","","test_small_modal_opens_and_closes","TC-MD01: Маленькое модальное окно открывается и закрывается."
"passed","Tue Jun 23 06:22:04 UTC 2026","Tue Jun 23 06:22:21 UTC 2026","16512","tests","test_elements_extended","TestUploadDownload","","","test_upload_different_file_types","Загрузка файла с расширением .csv — принимается формой."
"passed","Tue Jun 23 06:21:31 UTC 2026","Tue Jun 23 06:21:48 UTC 2026","16503","tests","test_elements_extended","TestUploadDownload","","","test_upload_file_shows_result","TC-UD02: Загрузка файла — результат отображается с именем файла."
"passed","Tue Jun 23 06:24:53 UTC 2026","Tue Jun 23 06:25:09 UTC 2026","16474","tests","test_widgets","TestAccordion","","","test_section1_can_be_opened","TC-W02: Первая секция открывается по клику."
"passed","Tue Jun 23 06:18:10 UTC 2026","Tue Jun 23 06:18:27 UTC 2026","17094","tests","test_elements","TestWebTables","","","test_search_record","Поиск записи в таблице."
"passed","Tue Jun 23 06:28:08 UTC 2026","Tue Jun 23 06:28:25 UTC 2026","16358","tests","test_widgets","TestSlider","","","test_slider_has_default_value","Ползунок имеет значение в диапазоне [0, 100] по умолчанию."
"passed","Tue Jun 23 06:26:28 UTC 2026","Tue Jun 23 06:26:44 UTC 2026","16324","tests","test_widgets","TestDatePicker","","","test_date_field_has_default_value","Поле даты имеет значение по умолчанию при открытии."
"passed","Tue Jun 23 06:12:39 UTC 2026","Tue Jun 23 06:13:11 UTC 2026","32162","tests","test_alerts_frames_windows","TestModalDialogs","","","test_large_modal_opens_and_closes","TC-MD02: Большое модальное окно открывается, содержит текст, закрывается."
"passed","Tue Jun 23 06:19:13 UTC 2026","Tue Jun 23 06:19:31 UTC 2026","17637","tests","test_elements_extended","TestLinks","","","test_simple_link_opens_new_tab","TC-L01: Простая ссылка Home открывает новую вкладку с demoqa.com."
"passed","Tue Jun 23 06:24:19 UTC 2026","Tue Jun 23 06:24:36 UTC 2026","16589","tests","test_smoke","TestSmoke","","","test_radio_button_selection","Проверка выбора радиокнопки 'Yes'."
"passed","Tue Jun 23 06:26:44 UTC 2026","Tue Jun 23 06:27:01 UTC 2026","16406","tests","test_widgets","TestDatePicker","","","test_datetime_field_has_default_value","Поле Date+Time имеет значение по умолчанию при открытии."
"passed","Tue Jun 23 06:10:28 UTC 2026","Tue Jun 23 06:10:33 UTC 2026","4820","tests","test_alerts_frames_windows","TestAlerts","","","test_prompt_with_text_input","TC-A04: Prompt-диалог — ввести текст и проверить результат."
"passed","Tue Jun 23 06:10:59 UTC 2026","Tue Jun 23 06:11:03 UTC 2026","4454","tests","test_alerts_frames_windows","TestFrames","","","test_frame1_has_correct_text","TC-F01: Первый фрейм содержит ожидаемый текст."
"passed","Tue Jun 23 06:15:08 UTC 2026","Tue Jun 23 06:15:27 UTC 2026","18588","tests","test_elements","TestCheckBox","","","test_check_parent_selects_children","Выбор родительского элемента выбирает все дочерние."
"passed","Tue Jun 23 06:17:13 UTC 2026","Tue Jun 23 06:17:29 UTC 2026","16385","tests","test_elements","TestButtons","","","test_double_click","TC-005b: Проверка двойного клика."
"passed","Tue Jun 23 06:25:09 UTC 2026","Tue Jun 23 06:25:15 UTC 2026","5644","tests","test_widgets","TestAccordion","","","test_section2_can_be_opened","TC-W03: Вторая секция открывается по клику."
"passed","Tue Jun 23 06:13:28 UTC 2026","Tue Jun 23 06:13:44 UTC 2026","16672","tests","test_elements","TestTextBox","","","test_submit_with_valid_data","TC-001: Валидация формы TextBox с корректными данными."
"passed","Tue Jun 23 06:23:32 UTC 2026","Tue Jun 23 06:23:35 UTC 2026","2773","tests","test_forms","TestPracticeForm","","","test_submit_practice_form","Заполнение и отправка формы Practice Form."
"passed","Tue Jun 23 06:24:03 UTC 2026","Tue Jun 23 06:24:19 UTC 2026","16423","tests","test_smoke","TestSmoke","","","test_buttons_respond_to_click","Проверка реакции кнопки на обычный клик."
"passed","Tue Jun 23 06:23:37 UTC 2026","Tue Jun 23 06:23:40 UTC 2026","2551","tests","test_forms","TestPracticeForm","","","test_submit_without_required_fields","Отправка пустой формы — модальное окно не появляется."
"passed","Tue Jun 23 06:10:10 UTC 2026","Tue Jun 23 06:10:28 UTC 2026","17643","tests","test_alerts_frames_windows","TestAlerts","","","test_confirm_dialog_dismissed","TC-A03: Confirm-диалог — отклонить (Cancel) и проверить результат."
"passed","Tue Jun 23 06:11:11 UTC 2026","Tue Jun 23 06:11:17 UTC 2026","5438","tests","test_alerts_frames_windows","TestFrames","","","test_frame2_has_correct_text","TC-F02: Второй фрейм содержит ожидаемый текст."
"passed","Tue Jun 23 06:19:31 UTC 2026","Tue Jun 23 06:19:48 UTC 2026","17113","tests","test_elements_extended","TestLinks","","","test_api_link_created_returns_201","TC-L02: API ссылка 'Created' возвращает статус 201."
"passed","Tue Jun 23 06:25:49 UTC 2026","Tue Jun 23 06:25:54 UTC 2026","5617","tests","test_widgets","TestAccordion","","","test_open_section_can_be_closed","Открытая секция закрывается повторным кликом."
"broken","Tue Jun 23 06:18:50 UTC 2026","Tue Jun 23 06:19:07 UTC 2026","16912","tests","test_elements","TestWebTables","","","test_edit_existing_record","TC-WT05: Редактирование существующей записи через кнопку Edit."
"passed","Tue Jun 23 06:22:38 UTC 2026","Tue Jun 23 06:22:54 UTC 2026","16568","tests","test_elements_extended","TestDynamicProperties","","","test_button_becomes_enabled_after_delay","TC-D02: Кнопка активируется через 5 секунд (без sleep — через wait_for_function)."
